APA Citation,DOI,Title,User,Year Published,Study Design,Research Method,Task,Interaction,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
,10.1007/978-3-319-94277-3_97,Effectiveness of tactile scatter plots: Comparison of non-visual data representations,Blind,2018,,,Read,None,,"Blind people, Tactile graph, Tactile table, Screen reader, Scatter plot",,,,,,
,10.1109/CCNC.2018.8319239,EvoGraphs - A jQuery plugin to create web accessible graphs,Visually impaired,2018,,,Read,None,,Application programs; Customizable; Image-based; Plug-ins; Screen readers; Software applications; Visually impaired; Graphic methods,,,,,,
,10.1145/3234695.3236357,Multi modal deep learning using images and text for information graphic classification,"Blind, Visually impaired",2018,,,Read,None,,Assistive technology; Classification.; Deep learning; Information graphic; Multimodal machine learning,,,,,,
,10.18974/tvrsj.23.1_13,Textures suitable for tactile bar charts on capsule paper.,Visually impaired,2018,,,Read,None,,"blind people, tactile bar chart, solid color, dot pattern, capsule paper",,,,,,
,10.1145/3056540.3064955,Analysis of tactile chart design,Blind,2017,,,Read,None,,"Design guidelines; Effective design; Information visualization; Tactile chart design, accessible charts; Tactile graphics, Design; Information systems; Blind people; Design considerations; Design support; Information visualization; Pie chart; Scatter plots; Tactile chart design, accessible charts; Tactile graphics; Graphic methods",,,,,,
,10.1007/978-3-319-67744-6_12,Improve the accessibility of tactile charts,"Visually impaired, Blind",2017,,,Create,None,,Accessibility; Audio-tactile charts; Blind users; Effective design; Survey; Tactile charts; Tactile graphics; User requirements,,,,,,
,10.1109/CCNC.2017.7983287,Towards accessible graphs in HTML-based scientific articles,Blind,2017,,,Create,None,,,,,,,,
,10.1587/transinf.2015EDP7405,Development of tactile graph generation web application using R statistics software environment,"Blind, Sighted",2016,,,Create,Visualize,,"Blind people; R statistical software; Tactile graphs; Tactile legibility; Web accessibility, Graph theory; Graphic methods; World Wide Web; Blind people; Statistical software; Tactile graphs; Tactile legibility; Web accessibility; Application programs",,,,,,
,10.1145/2994606,Exploring Auditory Graphing Software in the Classroom: The Effect of Auditory Graphs on the Classroom Environment,"Visually impaired, Sighted (teachers)",2016,,,Create,"Annotate, Visualize, Navigate",,"Auditory displays, educational technologies",,,,,,
,10.1108/JAT-10-2015-0027,ASVG − Accessible Scalable Vector Graphics: intention trees to make charts more accessible and usable,"Visually impaired, Blind",2015,,,Read,Navigate,,Accessibile SVG; Accessibility; Design for all; People with disabilities; Scalable vector graphics; Usability,,,,,,
,10.1145/2700648.2809862,ChartMaster: A tool for interacting with stock market charts using a screen reader,Visually impaired,2015,,,Read,"Derive, Filter, Guide, Select",,"Accessibility; Financial literacy; Inclusive design; Multi-modal; Non-visual; Screen reader; Stock market charts; Usability; Visual impairment, Commerce; Design; Finance; Financial markets; Graphic methods; Iterative methods; Transportation; User centered design; Accessibility; Financial literacy; Inclusive design; Multi-modal; Non visuals; Screen readers; Usability; Visual impairment; Investments",,,,,,
